time,temperature,humidity,pressure
16:55:27,23.39,44.47,978.09
16:55:22,23.39,44.71,978.17
16:55:17,23.38,44.46,978.14
16:55:12,23.39,44.44,978.12
16:55:07,23.39,44.42,978.17
16:55:02,23.38,44.52,978.19
16:54:57,23.39,44.50,978.12
16:54:52,23.40,44.38,978.20
16:54:47,23.39,44.40,978.18
16:54:41,23.40,44.52,978.17
16:54:36,23.40,44.45,978.16
16:54:31,23.41,44.45,978.15
16:54:26,23.41,44.47,978.20
16:54:21,23.42,44.49,978.13
16:54:16,23.41,44.45,978.18
16:54:11,23.43,44.40,978.15
16:54:06,23.43,44.43,978.15
16:54:01,23.43,44.43,978.15
16:53:56,23.42,44.41,978.20
16:53:51,23.45,44.45,978.21
16:53:46,23.43,44.42,978.18
16:53:41,23.42,44.51,978.11
16:53:36,23.43,44.41,978.18
16:53:31,23.43,44.36,978.21
16:53:23,23.43,44.49,978.16
16:53:18,23.43,44.51,978.21
16:53:13,23.44,44.46,978.09
16:53:08,23.45,44.44,978.15
