b69b9d14e5e5b0c0,Unnamed: 1,1111111111111111
client: Are you ok?,JOINED,client: Hello
client: Are you ok?,,client: Hello
client: Hello,,client: Hello
client: Hello,,client: Hello
client: Wanna meet up?,,client: Hello
client: Are you ok?,,client: Hello
client: Are you ok?,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Hello,,client: Hello
client: Hello,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Yes,,client: Hello
client: Yes,,
client: Yes,,
client: Yes,,
client: Hello,,
client: Hello,,
client: Hello,,
client: Hello,,
client: Yes,,
client: Yes,,
client: Danger! Stay away!,,
client: Danger! Stay away!,,
client: Hello,,
client: Hello,,
"client: Location update, please! ",,
"client: Location update, please!",,
client: Hello,,
client: Hello,,
"client: Hey, I found safe drinking water!",,
"client: Hey, I found safe drinking water!",,
"client: Hey, I found safe drinking water!",,
client: Are you ok?,,
client: Are you ok?,,
client: Wanna meet up?,,
client: Wanna meet up?,,
client: Wanna meet up?,,
client: Danger! Stay away!,,
client: Danger! Stay away!,,
client: Trail conditions?,,
client: Trail conditions?,,
client: Hello,,
client: [Insert GPS coordinates here],,
client: [Insert GPS coordinates here],,
client: [Insert GPS coordinates here],,
client: No,,
client: No,,
client: Are you ok?,,
client: Hello,,
client: unsafe,,
client: Hello,,
client: Hello,,
client: Yes,,
client: Yes,,
client: Yes,,
client: Yes,,
client: [Insert GPS coordinates here],,
client: [Insert GPS coordinates here],,
"client: Hey, I found safe drinking water!",,
"client: Hey, I found safe drinking water!",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
client: Yes,,
client: Yes,,
"client: Hey, I found safe drinking water!",,
"client: Hey, I found safe drinking water!",,
client: Are you ok?,,
client: Are you ok?,,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
client: Hello,,
client: Hello,,
client: Are you close?,,
client: Are you close?,,
client: Are you close?,,
client: Quick check-in!,,
client: Quick check-in!,,
"client: Location update, please! ",,
"client: Location update, please!",,
client: Hi There!!!,,
client: Hi There!!!,,
client: Hi There!!!,,
client: Trail conditions?,,
client: Trail conditions?,,
"client: Location update, please! ",,
client: Hey! How's your hike going?,,
client: Hey! How's your hike going?,,
client: Wanna meet up?,,
"client: Location update, please! ",,
client: Trail conditions?,,
client: safe,,
client: safe,,
client: Wanna meet up?,,
client: Hello,,
client: Danger! Stay away!,,
client: Yes,,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
"33.93838719687294,-84.52097068126767",,
